km_driven,mileage,engine,max_power,age,make,Individual,Vehical_type,fuel_type,seat
250000,21.64,1461.0,84.8,10.0,NISSAN,1,1,1,5
40000,18.6,1197.0,81.83,7.0,HYUNDAI,1,1,4,5
60000,22.0,1197.0,81.8,6.0,MARUTI,1,1,4,5
67231,14.0,2179.0,138.1,10.0,TATA,0,1,1,7
64000,33.54,998.0,67.04,10.0,MARUTI,0,1,4,5
142587,23.08,1461.0,63.1,11.0,NISSAN,0,1,1,5
63000,26.0,1498.0,98.6,9.0,HONDA,0,1,1,5
80000,12.55,2982.0,168.5,8.0,TOYOTA,1,1,1,7
55000,16.9,1497.0,100.0,12.0,HONDA,0,1,4,5
11000,18.6,1197.0,81.83,7.0,HYUNDAI,0,1,4,5
66000,23.59,1364.0,67.06,7.0,TOYOTA,0,1,1,5
17000,23.01,999.0,67.0,6.0,RENAULT,1,1,4,5
25000,24.7,796.0,47.3,6.0,MARUTI,1,1,4,5
33350,19.44,1198.0,67.0,7.0,DATSUN,1,1,4,7
45000,14.0,796.0,35.0,23.0,MARUTI,1,1,4,5
62000,18.9,1197.0,82.0,8.0,HYUNDAI,0,1,4,5
30000,19.4,1198.0,86.8,10.0,HONDA,1,1,4,5
59000,17.5,1298.0,85.8,14.0,MARUTI,1,1,4,5
20000,12.33,1991.0,375.48,8.0,MERCEDES-BENZ,0,0,4,5
86113,17.4,1497.0,117.3,9.0,HONDA,0,1,4,5
45000,21.43,1364.0,87.2,7.0,TOYOTA,0,1,1,5
10000,28.4,1248.0,74.02,5.0,MARUTI,1,1,1,5
70000,18.06,1198.0,75.0,12.0,NISSAN,0,1,4,5
92537,20.51,998.0,67.04,8.0,MARUTI,1,1,4,5
27645,28.09,1248.0,88.5,4.0,MARUTI,0,1,1,5
46242,20.92,998.0,67.1,10.0,MARUTI,1,1,4,5
70000,16.8,1497.0,116.3,10.0,HONDA,1,1,4,5
6000,22.3,799.0,53.26,3.0,RENAULT,1,1,4,5
64000,18.6,1197.0,81.83,6.0,HYUNDAI,0,1,4,5
93000,15.4,1997.0,120.0,6.0,MAHINDRA,0,1,1,7
26200,22.74,796.0,47.3,10.0,MARUTI,0,1,4,5
25000,21.4,1197.0,83.1,6.0,MARUTI,1,1,4,5
80000,18.49,1493.0,100.0,6.0,MAHINDRA,1,1,1,7
70000,18.49,1493.0,100.0,7.0,MAHINDRA,1,1,1,7
50000,12.9,2755.0,174.5,5.0,TOYOTA,0,0,1,7
80000,17.92,1086.0,62.1,15.0,HYUNDAI,1,1,4,5
110000,13.5,2179.0,115.0,16.0,MAHINDRA,1,1,1,5
55000,17.84,1395.0,147.51,7.0,AUDI,0,0,4,5
25000,17.4,1497.0,117.3,5.0,HONDA,1,1,4,5
36000,18.9,1197.0,81.86,8.0,HYUNDAI,0,1,4,5
40000,26.59,1248.0,74.0,8.0,MARUTI,1,1,1,5
25000,16.55,2498.0,105.0,5.0,MAHINDRA,1,1,1,7
30038,25.17,799.0,53.3,5.0,RENAULT,0,1,4,5
53000,27.28,1047.0,69.0,6.0,TATA,1,1,1,5
5000,21.21,1197.0,81.8,5.0,MARUTI,1,1,4,5
41217,24.4,1120.0,71.0,9.0,HYUNDAI,1,1,1,5
35000,24.04,999.0,67.0,6.0,RENAULT,1,0,4,5
62000,22.7,1498.0,89.84,10.0,FORD,0,1,1,5
42000,25.83,1498.0,99.0,8.0,FORD,1,1,1,5
120000,13.2,1995.0,56.0,18.0,AMBASSADOR,1,1,1,5
80000,15.4,2179.0,120.0,8.0,MAHINDRA,1,1,1,7
60000,15.1,2179.0,140.0,10.0,MAHINDRA,1,1,1,7
45000,22.32,1582.0,126.32,9.0,HYUNDAI,1,1,1,5
50000,16.0,2179.0,140.0,6.0,MAHINDRA,0,0,1,7
12000,24.7,796.0,47.3,5.0,MARUTI,1,1,4,5
12000,18.0,1497.0,117.6,5.0,HONDA,1,0,4,5
15000,24.3,1248.0,88.5,5.0,MARUTI,1,1,1,5
63000,16.47,1198.0,73.9,12.0,VOLKSWAGEN,0,1,4,5
30000,17.6,2179.0,153.86,5.0,TATA,1,1,1,7
160800,20.0,1399.0,68.0,12.0,FORD,1,1,1,5
120000,22.32,1582.0,126.32,9.0,HYUNDAI,1,1,1,5
62821,18.2,998.0,67.1,13.0,MARUTI,0,1,4,5
78247,21.7,1498.0,98.96,7.0,FORD,0,1,1,5
113000,22.32,1582.0,126.3,10.0,HYUNDAI,1,1,1,5
52000,18.6,1197.0,81.83,9.0,HYUNDAI,0,1,4,5
109000,12.99,2494.0,100.6,11.0,TOYOTA,0,1,1,7
90000,18.9,1197.0,82.0,6.0,HYUNDAI,1,1,4,5
35000,16.84,1193.0,64.4,12.0,TATA,1,1,4,5
90000,17.0,1896.0,105.0,13.0,SKODA,1,1,1,5
62001,14.4,1399.0,94.0,15.0,CHEVROLET,0,1,4,5
98000,22.07,1199.0,73.9,12.0,VOLKSWAGEN,0,1,1,5
20000,21.19,1396.0,88.73,7.0,HYUNDAI,1,1,1,5
57000,14.28,1798.0,138.03,13.0,TOYOTA,0,1,4,5
21717,20.51,998.0,67.04,9.0,MARUTI,1,1,4,5
40000,20.45,1461.0,83.8,9.0,RENAULT,1,1,1,5
50000,17.14,1497.0,117.6,6.0,HONDA,1,1,4,5
90000,19.6,1461.0,108.45,7.0,RENAULT,1,1,1,5
90000,20.5,1248.0,91.72,6.0,FIAT,1,1,1,5
27876,20.4,1197.0,81.8,6.0,MARUTI,0,1,4,5
56000,12.63,1999.0,177.0,7.0,LAND,0,0,4,5
57215,20.36,1197.0,78.9,15.0,HYUNDAI,1,1,4,5
5400,18.27,998.0,118.35,4.0,HYUNDAI,0,1,4,5
60000,23.4,1248.0,74.0,9.0,MARUTI,1,1,1,5
24800,23.84,1199.0,84.0,6.0,TATA,1,1,4,5
70000,19.7,796.0,46.3,18.0,MARUTI,1,1,4,5
59450,21.9,1498.0,98.6,7.0,HONDA,0,1,1,7
20000,17.1,1199.0,88.51,5.0,HONDA,0,0,4,5
90000,17.0,1405.0,71.0,13.0,TATA,1,1,1,5
34553,22.0,1197.0,81.8,10.0,MARUTI,0,1,4,5
40000,24.3,1248.0,88.5,5.0,MARUTI,1,1,1,5
350000,16.47,1198.0,73.9,13.0,VOLKSWAGEN,1,1,4,5
50000,24.3,1248.0,88.5,6.0,MARUTI,1,1,1,5
70000,25.32,1198.0,77.0,7.0,MAHINDRA,1,1,1,7
120000,15.4,1997.0,120.0,6.0,MAHINDRA,1,1,1,7
90000,22.54,1396.0,88.76,10.0,HYUNDAI,1,1,1,5
120000,23.4,1248.0,74.0,9.0,MARUTI,1,1,1,5
80000,19.67,1582.0,126.2,6.0,HYUNDAI,1,1,1,5
155000,14.0,2498.0,112.0,12.0,MAHINDRA,1,1,1,7
